acronym
Crim1
Hmha1
Steap1
Xaf1
2310014L17Rik
Ifi204
LOC433198
D030044L04Rik
Lime1
LOC546392
Zfp930
Pxylp1
Themis2
Strn3
Pak4
Cep192
Rps10
Tspo2
4931419H13Rik
Rs1
Rpl7
Adamts1
Xkr9
1810011H11Rik
Gfpt2
Igkv5-37
Mnx1
Heg1
Baz2a
4930583K01Rik
Kcnj12
Fam166b
9630011N22Rik
Mgat4a
Lrrc8d
Nubpl
F830118D09Rik*
mCG20113.1
4921513H07Rik
Hsd17b4
Wdr26
Nap1l5
Taf12
Cyp2f2
Trrap
LOC433494
Tef
Skap1
Pea15a
Apba3
Vps45
4930568D16Rik
4930447C04Rik
Smpd2
Eci1
Ttc21a
Crct1
Olfr374
Mal2
Sltm
A630023P12Rik
Glod5
Hecw2
Stk31
Chrm1
Raver1
LOC239690
Ankrd40
Lrrc18
Usp42
Unc5c
Ccdc121
Jkamp
Ttc7b
1110012L19Rik
Bcl2l10
4930535E06Rik*
Tprgl
2700097O09Rik
Ttl
Dock4
Fez1
Snx3
Anks4b
Fndc5
Ak8
Sema5b
Sorbs2
Zfp758
LOC432575
Zbtb1
Treml4
9230112D13Rik
Rarres2
4931429P17Rik
Yipf4
Smad2
Ryk
Galc
Atic
Agtr1a
Cerk
Cnep1r1
Pcyt2
Ccs
Myo1d
Pdlim2
Lpin1
Frmd5
Zfp612
Fsd2
Caskin2
Slc5a12
Gm591
Efhd2
Pak1ip1
Gpc5
Lrif1
Clec12b
Vmn1r66
9330188P03Rik
Tnni2
Tdrd5
Ints5
Fam154a
Il6st
Nr2c2
Chchd7
Krt77
Reep6
Gm5636
1700017D01Rik
Tmem8c
Tmem80
4930519H02Rik
Arhgef2
Gltscr1l
Matk
Susd5
Cdk18
Atf1
Wbp1l
Lamp2
Lhx2
Hydin
Cdc6
Eps8
LOC433542
Olfml1
Gm9925
Sdf4
Tnfrsf1b
Spag1
Lnx2
Prkcg
Gpr39
Kin
Mob3a
Erc2
C230024C17Rik
Krt7
Fbxw5
Cdc27
Traip
Cdca4
Pfdn4
Fabp2
Srm
Rin2
Pifo
Telo2
Kif13b
Mrps26
Agbl5
Zfp949
Cd68
Zfp94
Chrdl1
Wdfy3
Arhgef1
Scly
Utp23
C030007I09Rik
Pcyox1l
Nlrx1
Rbm3
Haus4
Mst1r
Cst12
Iyd
Fpgs
Krtap13-1
Eif2b1
Mrpl16
LOC434354
Btnl9
Usp27x
Zfp651
Gm266
9830137J09Rik
Wfdc1
Nqo1
Man2b2
Itpr1
Foxred2
Unc5d
Nxph4
Dusp16
Wnt5a
Capn15
Plxna1
Gpx3
Epn1
P3h3
Ccdc103
Pdp1
Gfra4
Clcn2
Tanc2
Lsm10
B4galt7
Pfkfb4
Lama1
Trim11
Ppfia1
Trmt1
Wdr18
Rpl3l
Aox1
Lox
Iqcc
Anks1
Oacyl
4932430N15Rik*
M1ap
TC1570131
Pramel3
Fkbp8
Thbs2
Ankzf1
H2afy3
Zeb1
Slc8a2
Adh6b
Il2ra
Ggt1
BC062185
A430035B10Rik
V1rg10
Dock10
6430565L09Rik*
4930486L24Rik
Amacr
Zdhhc2
Rgs7bp
Elf4
Pnn
Apol11b
Glyat
Mdh2
Arhgef3
Bex4
Adar
Marc1
Awat1
Olfr672
D130009I18Rik
Sema3e
Fam111a
Pygl
Gabpa
Rhod
Srp14
Gpd1
Kntc1
Mill2
Foxb1
Trmt10a
Adamts5
Serpinb6c
Olfr272
Adamts10
Ccm2
Iqcf5
Nudt15
Nat9
Zfp687
Flt3l
Wac
Kctd21
Rrm2b
Nrn1
Atp8a1
Pgr15l
Cramp1l
Cpa3
Zgrf1
D930042J21Rik*
Hip1
9230101K24Rik
Cnbd2
Jph1
Padi6
Golph3
Ccrn4l
Fmo4
Palm3
Tor1b
Bnip3l
Npat
Zfp455
Limd1
Pbx4
Commd3
Ctdsp1
BC030336
Plekhm3
Thap3
Raf1
Crtc3
LOC433258
Numb
2610206C17Rik
C1galt1c1
Gng2
Pgd
Sly
4930448I06Rik
Hoxa2
Slc29a3
Rps19bp1
Fcrl1
Tcf7l1
Acad11
Zfp239
Arhgap42
Tyro3
Mm.332803
Tmem30a
Sesn1
Arhgap28
Gcg
B930041F14Rik
Appl1
Pigk
Commd2
1810046K07Rik
Trp53bp2
Mrpl3
4933413A10Rik
Baz2b
Mm.360169
Faim3
Itgb6
Mkrn3
Sipa1l1
Tymp
Gm2716
Itgbl1
Commd1
Vstm4
LOC433420
Nenf
Mpi
Prss40
Clcn7
Igfbp1
Nim1k
Slc4a9
Wars
F10
LOC433875
Rpl22
LOC432915
Itpripl2
Ndufaf1
Rnf5
Scimp
1700061I17Rik
Senp2
Btbd19
Prkcb
Spc25
Tgm2
4930548G14Rik
Gm12692
Srgap1
Wnt9a
Rcbtb1
Ugt1a7c
LOC432657
Clca2
LOC544913
Vmac
Trpt1
Ly6e
LOC432483
Bmx
Grm8
Eif6
Nmnat1
Fmo6
Hrh2
BC003965
Dnajc7
9330112K21Rik*
Bmf
Adcy3
Glrb
