acronym,group
CDK5R2,brain
CDKL2,brain
CDKL5,brain
CDKN2D,brain
CDR1,brain
CECR2,brain
CECR6,brain
CELF3,brain
CELSR2,brain
CELSR3,brain
CEND1,brain
CERCAM,brain
CGB2,brain
CGREF1,brain
CH25H,brain
CHADL,brain
CHD5,brain
CHGA,brain
CHGB,brain
CHI3L1,brain
CHI3L2,brain
CHL1,brain
CHN1,brain
CHRM1,brain
CHRM3,brain
CHRM4,brain
CHRM5,brain
CHRNA2,brain
CHRNA4,brain
CHRNA6,brain
CHRNA9,brain
CHRNB2,brain
CHRNB3,brain
CHST1,brain
CHST10,brain
CHST6,brain
CHST8,brain
CIDEA,brain
CIT,brain
CITED1,brain
CKB,brain
CKMT1A,brain
CKMT1B,brain
CLASP2,brain
CLCA4,brain
CLCN4,brain
CLDN10,brain
CLDN11,brain
CLDND1,brain
CLEC2L,brain
CLIP2,brain
CLIP3,brain
CLRN1,brain
CLSTN1,brain
CLSTN2,brain
CLSTN3,brain
CLU,brain
CLVS2,brain
CMTM4,brain
CMTM5,brain
CNDP1,brain
CNGA3,brain
CNGB1,brain
CNIH2,brain
CNIH3,brain
CNKSR2,brain
CNNM1,brain
CNP,brain
CNPY1,brain
CNR1,brain
CNRIP1,brain
CNTFR,brain
CNTN1,brain
CNTN2,brain
CNTN3,brain
CNTN5,brain
CNTN6,brain
CNTNAP1,brain
CNTNAP2,brain
CNTNAP4,brain
CNTNAP5,brain
COL11A1,brain
COL11A2,brain
COL20A1,brain
COL9A3,brain
CORO2B,brain
CORT,brain
CPE,brain
CPEB1,brain
CPLX1,brain
CPLX2,brain
CPLX3,brain
CPNE4,brain
CPNE5,brain
CPNE6,brain
CPNE7,brain
CPNE9,brain
CPT1C,brain
CRABP1,brain
CRB1,brain
CRB2,brain
CREG2,brain
CRH,brain
CRHBP,brain
CRHR1,brain
CRLF1,brain
CRMP1,brain
CRTAC1,brain
CRTC1,brain
CRYAA,brain
CRYAB,brain
CRYBA1,brain
CRYGA,brain
CRYGB,brain
CRYGD,brain
CRYM,brain
CSAG1,brain
CSDC2,brain
CSMD1,brain
CSMD2,brain
CSMD3,brain
CSN1S1,brain
CSPG5,brain
CSRNP3,brain
CTNNA2,brain
CTNNA3,brain
CTNND2,brain
CTTNBP2,brain
CTXN1,brain
CTXN2,brain
CTXN3,brain
CUX2,brain
CX3CL1,brain
CX3CR1,brain
CXXC4,brain
CXorf67,brain
CYFIP2,brain
CYP17A1,brain
CYP26A1,brain
CYP26C1,brain
CYP46A1,brain
CYP4A11,brain
DAAM2,brain
DAB1,brain
DACH2,brain
DACT3,brain
DAGLA,brain
DAND5,brain
DAO,brain
DBNDD1,brain
DBNDD2,brain
DBX2,brain
DCAF12L2,brain
DCAF8L2,brain
DCC,brain
DCLK1,brain
DCLK2,brain
DCLK3,brain
DCT,brain
DCX,brain
DDAH1,brain
DDN,brain
DDX25,brain
DDX4,brain
DEFA5,brain
DEFB112,brain
DEFB134,brain
DGKB,brain
DGKG,brain
DGKI,brain
DHRS7C,brain
DIO2,brain
DIRAS1,brain
DIRAS2,brain
DIRC1,brain
DISP2,brain
DKK3,brain
DLEU7,brain
DLG2,brain
DLG4,brain
DLGAP1,brain
DLGAP2,brain
DLGAP3,brain
DLK2,brain
DLL3,brain
DLX1,brain
DLX2,brain
DLX6,brain
DMBX1,brain
DMRT1,brain
DMRT2,brain
DMRT3,brain
DMRTA2,brain
DMRTC1B,brain
DNAH17,brain
DNAH7,brain
DNAH9,brain
DNAJC12,brain
DNAJC5G,brain
DNAJC6,brain
DNER,brain
DNM1,brain
DNM3,brain
DNMT3L,brain
DOC2A,brain
DOCK10,brain
DOCK3,brain
DOCK4,brain
DOK5,brain
DOK6,brain
DPF1,brain
DPF3,brain
DPP10,brain
DPP6,brain
DPYSL2,brain
DPYSL4,brain
DPYSL5,brain
DRD1,brain
DRD3,brain
DRD5,brain
DRGX,brain
DRP2,brain
DSCAM,brain
DSCAML1,brain
DSCR8,brain
DSEL,brain
DTNA,brain
DUSP26,brain
DUSP27,brain
DUSP8,brain
DUSP9,brain
DYDC2,brain
DYNC1I1,brain
EDIL3,brain
EEF1A2,brain
EFCAB5,brain
EFHB,brain
EFHD1,brain
EFNA2,brain
EFNA3,brain
EFNB3,brain
EFR3B,brain
EGR3,brain
EGR4,brain
EHD3,brain
EIF4E1B,brain
ELAVL2,brain
ELAVL3,brain
ELAVL4,brain
ELMO1,brain
ELMOD1,brain
ELOVL2,brain
ELOVL4,brain
ELSPBP1,brain
EMX1,brain
EMX2,brain
EN2,brain
ENC1,brain
ENHO,brain
ENKUR,brain
ENO2,brain
ENOX1,brain
ENPP6,brain
ENTPD2,brain
EPHA4,brain
EPHA5,brain
EPHA6,brain
EPHA8,brain
EPHB1,brain
EPHB6,brain
EPHX4,brain
ERAS,brain
ERBB4,brain
ERC2,brain
ERMN,brain
ETV1,brain
ETV5,brain
EVI2A,brain
EVX2,brain
EXD1,brain
