acronym,group
PCDH11X,brain
PCDH11Y,brain
PCDH15,brain
PCDH17,brain
PCDH19,brain
PCDH7,brain
PCDH8,brain
PCDH9,brain
PCDHA1,brain
PCDHA11,brain
PCDHA13,brain
PCDHA3,brain
PCDHA5,brain
PCDHA8,brain
PCDHA9,brain
PCDHAC1,brain
PCDHAC2,brain
PCDHB1,brain
PCDHB10,brain
PCDHB15,brain
PCDHB2,brain
PCDHB6,brain
PCDHGA1,brain
PCDHGA3,brain
PCDHGA4,brain
PCDHGA5,brain
PCDHGA7,brain
PCDHGA9,brain
PCDHGB1,brain
PCDHGB2,brain
PCDHGB6,brain
PCDHGC3,brain
PCDHGC4,brain
PCDHGC5,brain
PCLO,brain
PCP4,brain
PCP4L1,brain
PCSK1,brain
PCSK1N,brain
PCSK2,brain
PCSK6,brain
PCYT1B,brain
PDE1A,brain
PDE1B,brain
PDE1C,brain
PDE2A,brain
PDE4B,brain
PDE4DIP,brain
PDE6H,brain
PDE8B,brain
PDIA2,brain
PDP1,brain
PDXP,brain
PDYN,brain
PDZD2,brain
PDZD4,brain
PDZD7,brain
PEA15,brain
PEG10,brain
PEX5L,brain
PFN2,brain
PGA3,brain
PGAM2,brain
PGBD5,brain
PGC,brain
PGM2L1,brain
PHACTR1,brain
PHACTR3,brain
PHF21B,brain
PHKG1,brain
PHLPP1,brain
PHYHIP,brain
PIPOX,brain
PIRT,brain
PITPNM3,brain
PITX3,brain
PIWIL1,brain
PIWIL3,brain
PJA1,brain
PKD2L1,brain
PKIA,brain
PLA2G2C,brain
PLCB1,brain
PLCH1,brain
PLCL1,brain
PLCXD3,brain
PLD5,brain
PLEKHB1,brain
PLEKHH1,brain
PLLP,brain
PLP1,brain
PLSCR5,brain
PLXNA4,brain
PLXNB3,brain
PMP2,brain
PNCK,brain
PNLDC1,brain
PNMA1,brain
PNMA2,brain
PNMA3,brain
PNMA5,brain
PNMA6A,brain
PNMAL1,brain
PNMAL2,brain
PNOC,brain
PNPLA5,brain
PODXL2,brain
POPDC3,brain
POU3F1,brain
POU3F2,brain
POU3F3,brain
POU3F4,brain
POU4F2,brain
POU6F2,brain
PPEF1,brain
PPFIA2,brain
PPFIA3,brain
PPFIA4,brain
PPM1E,brain
PPM1H,brain
PPP1R14C,brain
PPP1R16B,brain
PPP1R1A,brain
PPP1R1B,brain
PPP1R3F,brain
PPP1R9A,brain
PPP2R2B,brain
PPP2R2C,brain
PPP3CA,brain
PPP3R2,brain
PPP4R4,brain
PRAMEF1,brain
PRAMEF12,brain
PRAMEF2,brain
PRAMEF7,brain
PRAMEF8,brain
PRB1,brain
PRB2,brain
PRDM12,brain
PRDM8,brain
PREPL,brain
PRG3,brain
PRICKLE2,brain
PRKACB,brain
PRKACG,brain
PRKAR1B,brain
PRKCA,brain
PRKCB,brain
PRKCE,brain
PRKCG,brain
PRKCZ,brain
PRLHR,brain
PRMT8,brain
PRNP,brain
PRODH,brain
PRODH2,brain
PROK1,brain
PROKR2,brain
PRPH2,brain
PRR18,brain
PRR7,brain
PRRG3,brain
PRRT1,brain
PRRT2,brain
PRRT3,brain
PRTFDC1,brain
PRUNE2,brain
PRY,brain
PSAT1,brain
PSD,brain
PSD2,brain
PSD3,brain
PSG11,brain
PSG8,brain
PSG9,brain
PSPN,brain
PSRC1,brain
PTCHD1,brain
PTF1A,brain
PTH2R,brain
PTHLH,brain
PTN,brain
PTPN5,brain
PTPRD,brain
PTPRN,brain
PTPRN2,brain
PTPRO,brain
PTPRR,brain
PTPRT,brain
PTPRZ1,brain
PTTG2,brain
PURG,brain
PVALB,brain
PYDC1,brain
PYGM,brain
QDPR,brain
QRFPR,brain
R3HDM1,brain
RAB11FIP4,brain
RAB15,brain
RAB26,brain
RAB27B,brain
RAB33A,brain
RAB39B,brain
RAB3A,brain
RAB3B,brain
RAB3C,brain
RAB40B,brain
RAB6B,brain
RAB9B,brain
RAD51AP2,brain
RALYL,brain
RANBP3L,brain
RAP1GAP,brain
RAP2A,brain
RAPGEF4,brain
RAPGEFL1,brain
RASAL1,brain
RASGEF1A,brain
RASGEF1C,brain
RASGRF1,brain
RASGRF2,brain
RASGRP1,brain
RASL10A,brain
RASL11B,brain
RASSF2,brain
RCAN2,brain
RCOR2,brain
REEP1,brain
REEP2,brain
RELL2,brain
RELN,brain
RESP18,brain
RETNLB,brain
RFPL3,brain
RFPL4B,brain
RFTN2,brain
RFX4,brain
RGAG1,brain
RGMA,brain
RGR,brain
RGS11,brain
RGS20,brain
RGS21,brain
RGS4,brain
RGS6,brain
RGS7,brain
RGS7BP,brain
RGS8,brain
RHBDL1,brain
RHBDL2,brain
RHBDL3,brain
RHCG,brain
RHO,brain
RHOXF2,brain
RHOXF2B,brain
RIMBP2,brain
RIMKLA,brain
RIMS1,brain
RIMS2,brain
RIMS3,brain
RIMS4,brain
RIT2,brain
RLBP1,brain
RNASE2,brain
RND1,brain
RND2,brain
RNF112,brain
RNF157,brain
RNF165,brain
RNF175,brain
RNF182,brain
RNF208,brain
RNFT2,brain
ROBO2,brain
ROM1,brain
ROPN1,brain
ROPN1B,brain
RORB,brain
ROS1,brain
RP11-195F19.5,brain
RP11-566K11.2,brain
RP11-770J1.4,brain
RPE65,brain
RPH3A,brain
RPRM,brain
RPRML,brain
RPS6KL1,brain
RS1,brain
RSPO2,brain
RSPO4,brain
RTBDN,brain
RTL1,brain
RTN1,brain
RTN3,brain
RTN4R,brain
RTN4RL1,brain
RTN4RL2,brain
RTP1,brain
RUNDC3A,brain
RUNDC3B,brain
RXFP1,brain
RXFP2,brain
RXFP3,brain
RYR1,brain
RYR2,brain
RYR3,brain
S100A1,brain
S100B,brain
S1PR5,brain
SAG,brain
SAGE1,brain
SALL1,brain
SALL2,brain
SALL3,brain
SAMD14,brain
SATB2,brain
SBK1,brain
SCAMP5,brain
SCARA3,brain
SCD,brain
SCD5,brain
SCG2,brain
SCG3,brain
SCG5,brain
SCN1A,brain
SCN1B,brain
SCN2A,brain
SCN2B,brain
SCN3A,brain
SCN3B,brain
SCN8A,brain
SCRG1,brain
SCRN1,brain
SCRT2,brain
SDC3,brain
SDR16C5,brain
SDS,brain
SEC14L2,brain
SEC14L3,brain
SEC14L5,brain
SEC61A2,brain
SEMA3E,brain
SEMA4F,brain
SEMA5B,brain
SEMA6B,brain
SEMG1,brain
SEMG2,brain
SEPT12,brain
SEPT3,brain
SEPT4,brain
SEPT5,brain
SEPT8,brain
SERP2,brain
SERPINA3,brain
SERPINB13,brain
SERPINE2,brain
SERPINI1,brain
SERPINI2,brain
SEZ6,brain
SEZ6L,brain
SEZ6L2,brain
SFTPC,brain
SFXN5,brain
SGCZ,brain
SGIP1,brain
SGK2,brain
SGSM1,brain
SGTB,brain
SH2D5,brain
SH3GL2,brain
SH3GL3,brain
SH3TC2,brain
SHANK1,brain
SHC3,brain
SHC4,brain
SHD,brain
SHISA4,brain
SHOX,brain
SI,brain
SIAH3,brain
SIGLEC8,brain
SIM2,brain
SIRPA,brain
SLAIN1,brain
SLC10A4,brain
SLC12A1,brain
SLC12A5,brain
SLC13A1,brain
SLC13A5,brain
SLC14A1,brain
SLC14A2,brain
SLC15A2,brain
SLC16A9,brain
SLC17A6,brain
SLC17A7,brain
SLC17A8,brain
SLC1A1,brain
SLC1A2,brain
SLC1A3,brain
SLC1A4,brain
SLC1A6,brain
SLC22A10,brain
SLC22A12,brain
SLC22A17,brain
SLC22A25,brain
SLC22A6,brain
SLC22A7,brain
SLC22A8,brain
SLC22A9,brain
SLC24A2,brain
SLC24A4,brain
SLC24A5,brain
SLC25A18,brain
SLC25A22,brain
SLC25A41,brain
SLC26A8,brain
SLC26A9,brain
SLC2A13,brain
SLC2A6,brain
SLC30A10,brain
SLC30A3,brain
SLC32A1,brain
SLC34A1,brain
SLC35F1,brain
SLC35F3,brain
SLC35F4,brain
SLC36A2,brain
SLC38A8,brain
SLC39A10,brain
SLC39A12,brain
SLC45A1,brain
SLC4A10,brain
SLC4A3,brain
SLC4A4,brain
SLC4A8,brain
SLC4A9,brain
SLC5A11,brain
SLC6A1,brain
SLC6A11,brain
SLC6A12,brain
SLC6A13,brain
SLC6A15,brain
SLC6A17,brain
SLC6A18,brain
SLC6A5,brain
SLC6A7,brain
SLC7A10,brain
SLC7A11,brain
SLC7A13,brain
SLC7A14,brain
SLC7A3,brain
SLC7A5,brain
SLC8A2,brain
SLC8A3,brain
SLC9A6,brain
SLCO1A2,brain
SLCO1C1,brain
SLIT1,brain
SLITRK1,brain
SLITRK2,brain
SLITRK3,brain
SLITRK4,brain
SLITRK5,brain
SLN,brain
SMCP,brain
SMOC1,brain
SMYD1,brain
SNAP25,brain
SNAP91,brain
SNCA,brain
SNCAIP,brain
SNCB,brain
SNCG,brain
SNN,brain
SNPH,brain
SNRPN,brain
SNTG1,brain
SNX10,brain
SNX22,brain
SNX31,brain
SNX32,brain
SOBP,brain
SOHLH1,brain
SORCS1,brain
SORCS2,brain
SORCS3,brain
SOX1,brain
SOX10,brain
SOX11,brain
SOX15,brain
SOX2,brain
SOX21,brain
SOX3,brain
SOX8,brain
SOX9,brain
SP7,brain
SP8,brain
SP9,brain
SPACA5,brain
SPAG6,brain
SPARCL1,brain
SPATA19,brain
SPATA22,brain
SPATS1,brain
SPEF1,brain
SPHKAP,brain
SPINK8,brain
SPINK9,brain
SPOCD1,brain
SPOCK1,brain
SPOCK2,brain
SPOCK3,brain
SPP1,brain
SPRED3,brain
SPRN,brain
SPRR1A,brain
SPRR2B,brain
SPRR2D,brain
SPRR2E,brain
SPRR2G,brain
SPSB4,brain
SPTB,brain
SPTBN2,brain
SPTBN4,brain
SPTSSB,brain
SRGAP3,brain
SRPK2,brain
SRY,brain
SST,brain
SSTR1,brain
SSTR2,brain
SSTR4,brain
SSX1,brain
SSX3,brain
ST18,brain
ST6GAL2,brain
ST6GALNAC5,brain
ST8SIA2,brain
ST8SIA3,brain
ST8SIA5,brain
STAC2,brain
STAR,brain
STARD6,brain
STH,brain
STK32A,brain
STK32C,brain
STMN1,brain
STMN2,brain
STMN3,brain
STMN4,brain
STON2,brain
STOX1,brain
STOX2,brain
STRA8,brain
STX1A,brain
STX1B,brain
STXBP1,brain
STXBP5L,brain
STYK1,brain
SULT1C4,brain
SULT4A1,brain
SUSD4,brain
SUSD5,brain
SV2A,brain
SV2B,brain
SV2C,brain
SVOP,brain
SYCE1,brain
SYN1,brain
SYN3,brain
SYNGR1,brain
SYNGR3,brain
SYNGR4,brain
SYNJ1,brain
SYNPR,brain
SYP,brain
SYT1,brain
SYT10,brain
SYT11,brain
SYT12,brain
SYT13,brain
SYT14,brain
SYT16,brain
SYT17,brain
SYT2,brain
SYT3,brain
SYT4,brain
SYT5,brain
SYT6,brain
SYT7,brain
SYT9,brain
TAAR6,brain
TAC1,brain
TAC3,brain
TACR3,brain
TAGLN3,brain
TAL2,brain
TAS2R1,brain
TAS2R3,brain
TAS2R43,brain
TBC1D24,brain
TBC1D26,brain
TBC1D28,brain
TBR1,brain
TBX15,brain
TCEAL2,brain
TCEAL5,brain
TCEAL6,brain
TCEAL7,brain
TCEB3B,brain
TCERG1L,brain
TCTE1,brain
TDRD9,brain
TECTA,brain
TECTB,brain
TEKT1,brain
TEKT2,brain
TEX15,brain
TEX19,brain
TEX26,brain
TF,brain
TFR2,brain
THEG,brain
THEM5,brain
THRA,brain
THY1,brain
TIAM1,brain
TIMP4,brain
TINAG,brain
TLL2,brain
TLN2,brain
TLX1,brain
TLX2,brain
TMC2,brain
TMC3,brain
TMC7,brain
TMCC2,brain
TMEFF1,brain
TMEFF2,brain
TMEM108,brain
TMEM121,brain
TMEM130,brain
TMEM132A,brain
TMEM132B,brain
TMEM132D,brain
TMEM132E,brain
TMEM136,brain
TMEM144,brain
TMEM145,brain
TMEM151A,brain
TMEM151B,brain
TMEM155,brain
TMEM158,brain
TMEM160,brain
TMEM163,brain
TMEM169,brain
TMEM170B,brain
TMEM174,brain
TMEM179,brain
TMEM196,brain
TMEM198,brain
TMEM206,brain
TMEM215,brain
TMEM240,brain
TMEM246,brain
TMEM38A,brain
TMEM59L,brain
TMEM63C,brain
TMEM74,brain
TMEM88B,brain
TMEM89,brain
TMEM8C,brain
TMIE,brain
TMIGD1,brain
TMOD2,brain
TMPRSS11F,brain
TMPRSS5,brain
TNFSF18,brain
TNIK,brain
TNK2,brain
TNNT1,brain
TNP1,brain
TNR,brain
TP53TG3,brain
TP53TG3B,brain
TP53TG5,brain
TPH2,brain
TPPP,brain
TRAM1L1,brain
TREM2,brain
TREML1,brain
TRH,brain
TRHR,brain
TRIM2,brain
TRIM36,brain
TRIM37,brain
TRIM43,brain
TRIM46,brain
TRIM48,brain
TRIM49,brain
TRIM54,brain
TRIM59,brain
TRIM67,brain
TRIM71,brain
TRIM72,brain
TRIM9,brain
TRIML2,brain
TRO,brain
TRPC3,brain
TRPC5,brain
TRPC7,brain
TRPM3,brain
TRPM8,brain
TRPV5,brain
TSC22D4,brain
TSGA13,brain
TSHB,brain
TSPAN16,brain
TSPAN19,brain
TSPAN5,brain
TSPAN7,brain
TSPYL6,brain
TTBK1,brain
TTC29,brain
TTC36,brain
TTC9B,brain
TTLL7,brain
TTLL8,brain
TTLL9,brain
TTPA,brain
TTYH1,brain
TTYH2,brain
TUB,brain
TUBA1A,brain
TUBA8,brain
TUBB2A,brain
TUBB2B,brain
TYRO3,brain
UBE2QL1,brain
UBL4B,brain
UCHL1,brain
UCN,brain
UGT1A9,brain
UGT2B10,brain
UGT8,brain
UMOD,brain
UNC13A,brain
UNC13C,brain
UNC5A,brain
UNC5D,brain
UPK2,brain
UPP2,brain
UROC1,brain
USH1C,brain
USP11,brain
USP2,brain
USP46,brain
VAMP2,brain
VAT1L,brain
VAX1,brain
VAX2,brain
VCX,brain
VCX2,brain
VCX3A,brain
VGF,brain
VIP,brain
VN1R2,brain
VSNL1,brain
VSTM2A,brain
VSTM2B,brain
VSTM2L,brain
VSTM5,brain
VSX1,brain
VSX2,brain
VWA3A,brain
VWA5B2,brain
VWC2,brain
VWC2L,brain
WASF1,brain
WASF3,brain
WBSCR17,brain
WDR17,brain
WDR38,brain
WDR47,brain
WDR49,brain
WDR87,brain
WFDC6,brain
WIF1,brain
WNK3,brain
WNT1,brain
WNT10B,brain
WNT3,brain
WNT7A,brain
WNT7B,brain
WNT8A,brain
WNT9B,brain
WSCD1,brain
WSCD2,brain
XAGE1B,brain
XKR3,brain
XKR4,brain
YIPF7,brain
YJEFN3,brain
YPEL1,brain
YPEL4,brain
YWHAG,brain
YWHAH,brain
ZACN,brain
ZAR1L,brain
ZBBX,brain
ZC3H12B,brain
ZCCHC12,brain
ZCCHC16,brain
ZDHHC22,brain
ZFHX2,brain
ZFHX4,brain
ZFP57,brain
ZFR2,brain
ZIC1,brain
ZIC2,brain
ZIC3,brain
ZIC4,brain
ZIC5,brain
ZMAT4,brain
ZNF157,brain
ZNF233,brain
ZNF365,brain
ZNF385D,brain
ZNF483,brain
ZNF534,brain
ZNF536,brain
ZNF560,brain
ZNF648,brain
ZNF667,brain
ZNF676,brain
ZNF711,brain
ZNF804A,brain
ZNF804B,brain
ZNF99,brain
ZNRF4,brain
ZSCAN1,brain
ZSCAN10,brain
ZSWIM2,brain
A2BP1,neuron
AACS,neuron
AAK1,neuron
ABCB6,neuron
ABCC5,neuron
ABCC8,neuron
ABCC9,neuron
ABCD2,neuron
ABCG4,neuron
ABI2,neuron
ABLIM1,neuron
ABLIM3,neuron
ACAT1,neuron
ACAT2,neuron
ACCN1,neuron
ACCN2,neuron
ACHE,neuron
ACLY,neuron
ACO1,neuron
ACOT7,neuron
ACOT9,neuron
ACP1,neuron
ACPL2,neuron
ACSL1,neuron
ACSL4,neuron
ACTL6B,neuron
ACTN2,neuron
ACTR1A,neuron
ACTR3,neuron
ACTR3B,neuron
ACVR1B,neuron
ACVR2A,neuron
ADA,neuron
ADAM10,neuron
ADAM11,neuron
ADAM19,neuron
ADAM23,neuron
ADAMTS20,neuron
ADAMTS3,neuron
ADAR,neuron
ADARB2,neuron
ADCY1,neuron
ADCY5,neuron
ADCY7,neuron
ADCY9,neuron
ADCYAP1,neuron
ADD2,neuron
ADRA1A,neuron
ADRBK1,neuron
ADSS,neuron
AFF3,neuron
AFTPH,neuron
AGK,neuron
AGPAT6,neuron
AGTPBP1,neuron
AHCTF1,neuron
AHI1,neuron
AIFM2,neuron
AJAP1,neuron
AK5,neuron
AKAP1,neuron
AKAP11,neuron
AKAP6,neuron
AKAP7,neuron
AKAP8,neuron
AKAP9,neuron
AKT3,neuron
ALAS2,neuron
ALCAM,neuron
ALDH1B1,neuron
ALDH1L2,neuron
ALG10B,neuron
ALG2,neuron
ALKBH8,neuron
ALS2,neuron
AMN,neuron
AMPH,neuron
ANAPC11,neuron
ANGEL2,neuron
ANKRD10,neuron
ANKRD12,neuron
ANKRD13B,neuron
ANKRD13D,neuron
ANKRD32,neuron
ANKRD42,neuron
ANKRD44,neuron
ANKRD50,neuron
ANKRD56,neuron
ANKS1B,neuron
ANXA7,neuron
AOF1,neuron
AP1G1,neuron
AP1GBP1,neuron
AP1S2,neuron
AP1S3,neuron
AP2A2,neuron
AP2B1,neuron
AP2M1,neuron
AP3B2,neuron
AP3M2,neuron
AP3S2,neuron
AP4E1,neuron
APAF1,neuron
APBA1,neuron
APBB2,neuron
APC,neuron
APC2,neuron
APH1B,neuron
APP,neuron
APPBP2,neuron
APPL1,neuron
AQP11,neuron
AR,neuron
ARAF,neuron
ARF3,neuron
ARF5,neuron
ARFIP2,neuron
ARG2,neuron
ARHGAP11A,neuron
ARHGAP15,neuron
ARHGAP20,neuron
ARHGAP23,neuron
ARHGAP25,neuron
ARHGAP26,neuron
ARHGAP5,neuron
ARHGAP6,neuron
ARHGDIG,neuron
ARHGEF15,neuron
ARHGEF7,neuron
ARHGEF9,neuron
ARID4A,neuron
ARID5B,neuron
ARL15,neuron
ARL4A,neuron
ARL4C,neuron
ARL5A,neuron
ARL5B,neuron
ARMC10,neuron
ARMC6,neuron
ARMC7,neuron
ARMC8,neuron
ARMC9,neuron
ARMCX1,neuron
ARMCX2,neuron
ARMCX3,neuron
ARMCX4,neuron
ARMCX5,neuron
ARPC4,neuron
ARPC5,neuron
ARPC5L,neuron
ARPP19,neuron
ARRB2,neuron
ARRDC3,neuron
ARRDC4,neuron
ARV1,neuron
ARX,neuron
ASB1,neuron
ASCC2,neuron
ASCC3,neuron
ASH1L,neuron
ASNS,neuron
ASPH,neuron
ASS1,neuron
ASTN2,neuron
ASXL1,neuron
ASXL3,neuron
ATAD5,neuron
ATE1,neuron
ATF2,neuron
ATG16L1,neuron
ATG9B,neuron
ATP10D,neuron
ATP11B,neuron
ATP13A2,neuron
ATP1A3,neuron
ATP1B1,neuron
ATP2A2,neuron
ATP2B1,neuron
ATP2B2,neuron
ATP2B3,neuron
ATP2C1,neuron
ATP6AP2,neuron
ATP6V0A1,neuron
ATP6V0C,neuron
ATP6V0D1,neuron
ATP6V1A,neuron
ATP6V1B2,neuron
ATP6V1C1,neuron
ATP6V1D,neuron
ATP6V1G2,neuron
ATP6V1H,neuron
ATP8A1,neuron
ATP8A2,neuron
ATP8B1,neuron
ATP8B2,neuron
ATP9B,neuron
ATPBD3,neuron
ATPIF1,neuron
ATR,neuron
ATRNL1,neuron
ATRX,neuron
ATXN1,neuron
ATXN10,neuron
ATXN3,neuron
AUTS2,neuron
B3GALNT1,neuron
B3GALT1,neuron
B3GALT2,neuron
B3GALT6,neuron
B3GNT5,neuron
B4GALNT1,neuron
B4GALNT4,neuron
B4GALT2,neuron
B4GALT5,neuron
B4GALT6,neuron
BACE1,neuron
BACE2,neuron
BACH1,neuron
BAG4,neuron
BAI3,neuron
BAIAP2,neuron
BAIAP3,neuron
BASP1,neuron
BBS1,neuron
BBS5,neuron
BCAS2,neuron
BCL11A,neuron
BCL11B,neuron
BCL2L11,neuron
BCL7C,neuron
BCLAF1,neuron
BCOR,neuron
BDH1,neuron
BDNF,neuron
BEX1,neuron
BEX4,neuron
BID,neuron
BIN1,neuron
BIRC6,neuron
BLCAP,neuron
BMI1,neuron
BMP2,neuron
BMPR2,neuron
BOK,neuron
BRAF,neuron
BRD1,neuron
BRD3,neuron
BRD4,neuron
BRD8,neuron
BRI3BP,neuron
BRSK2,neuron
BRUNOL4,neuron
BRUNOL5,neuron
BRUNOL6,neuron
BRWD1,neuron
BSN,neuron
BTBD10,neuron
BTBD11,neuron
BTBD3,neuron
BTBD6,neuron
BTBD9,neuron
BTF3L4,neuron
BTG1,neuron
BTG4,neuron
BUB3,neuron
BYSL,neuron
BZRAP1,neuron
BZW1,neuron
BZW2,neuron
C1D,neuron
C1QTNF2,neuron
C1QTNF4,neuron
CAB39,neuron
CABLES2,neuron
CABP1,neuron
CACNA1A,neuron
CACNA1B,neuron
CACNA1C,neuron
CACNA1D,neuron
CACNA1E,neuron
CACNA1G,neuron
CACNA1H,neuron
CACNA2D1,neuron
CACNA2D3,neuron
CACNB1,neuron
CACNB2,neuron
CACNB4,neuron
CACNG2,neuron
CACNG3,neuron
CACNG4,neuron
CACNG5,neuron
CACYBP,neuron
CADM1,neuron
CADM2,neuron
CADM3,neuron
CADPS,neuron
CADPS2,neuron
CALB1,neuron
CALB2,neuron
CALCA,neuron
CALM1,neuron
CALM2,neuron
CALM3,neuron
CALN1,neuron
CAMK1D,neuron
CAMK1G,neuron
CAMK2A,neuron
CAMK2B,neuron
CAMK2D,neuron
CAMK2G,neuron
CAMK2N2,neuron
CAMK4,neuron
CAMKK2,neuron
CAMKV,neuron
CAMSAP1,neuron
CAMTA1,neuron
CAMTA2,neuron
CAND1,neuron
CARD10,neuron
CASD1,neuron
CASK,neuron
CASP3,neuron
CASP9,neuron
CBLL1,neuron
CBLN1,neuron
CBLN2,neuron
CBLN4,neuron
CBX1,neuron
CBX5,neuron
CC2D1A,neuron
CCBE1,neuron
CCDC106,neuron
CCDC109A,neuron
CCDC109B,neuron
CCDC112,neuron
CCDC120,neuron
CCDC39,neuron
CCDC6,neuron
CCDC71,neuron
CCDC82,neuron
CCDC85A,neuron
CCDC9,neuron
CCDC92,neuron
CCK,neuron
CCKBR,neuron
CCL27,neuron
CCL4,neuron
CCNC,neuron
CCNG2,neuron
CCNI,neuron
CCNK,neuron
CCNT1,neuron
CCNT2,neuron
CCRN4L,neuron
CCT4,neuron
CCT6A,neuron
CD200,neuron
CD3EAP,neuron
CD99L2,neuron
CDADC1,neuron
CDC2L5,neuron
CDC2L6,neuron
CDC42,neuron
CDC42EP3,neuron
CDC7,neuron
CDH11,neuron
CDH13,neuron
CDH2,neuron
CDH4,neuron
CDH6,neuron
CDH7,neuron
CDH8,neuron
CDH9,neuron
CDK5R1,neuron
CDK8,neuron
CDKL1,neuron
CDKL2,neuron
CDKN1A,neuron
CDKN2D,neuron
CDS1,neuron
CDT1,neuron
CEBPZ,neuron
CECR6,neuron
CELSR2,neuron
CELSR3,neuron
CEND1,neuron
CEP164,neuron
CEP170,neuron
CEP70,neuron
CFL2,neuron
CGN,neuron
CGREF1,neuron
CHAC1,neuron
CHCHD4,neuron
CHCHD6,neuron
CHD2,neuron
CHD3,neuron
CHD5,neuron
CHFR,neuron
CHGA,neuron
CHGB,neuron
CHIC1,neuron
CHIC2,neuron
CHKA,neuron
CHL1,neuron
CHM,neuron
CHMP2B,neuron
CHMP7,neuron
CHN2,neuron
CHODL,neuron
CHORDC1,neuron
CHRAC1,neuron
CHRM1,neuron
CHRNA3,neuron
CHRNA4,neuron
CHRNA7,neuron
CHRNB2,neuron
CIAPIN1,neuron
CIRBP,neuron
CISH,neuron
CITED2,neuron
CLCN3,neuron
CLCN5,neuron
CLDND1,neuron
CLIC5,neuron
CLIP1,neuron
CLSTN2,neuron
CLSTN3,neuron
CMAS,neuron
CNIH2,neuron
CNIH3,neuron
CNKSR2,neuron
CNNM1,neuron
CNNM4,neuron
CNO,neuron
CNOT6L,neuron
CNOT7,neuron
CNR1,neuron
CNTN1,neuron
CNTN2,neuron
CNTN3,neuron
CNTN4,neuron
CNTN6,neuron
CNTNAP2,neuron
CNTNAP4,neuron
CNTROB,neuron
COASY,neuron
COBL,neuron
COCH,neuron
COG7,neuron
COIL,neuron
COL13A1,neuron
COL19A1,neuron
COL23A1,neuron
COL4A3BP,neuron
COL4A5,neuron
COL5A2,neuron
COL6A1,neuron
COL6A3,neuron
COL8A1,neuron
COPS7B,neuron
CORO1A,neuron
CORO1C,neuron
CORO7,neuron
COX15,neuron
COX7C,neuron
CPD,neuron
CPEB2,neuron
CPEB3,neuron
CPEB4,neuron
CPLX1,neuron
CPLX2,neuron
CPLX3,neuron
CPNE4,neuron
CPNE5,neuron
CPNE6,neuron
CPNE7,neuron
CPNE8,neuron
CPOX,neuron
CPSF2,neuron
CPSF6,neuron
CRABP1,neuron
CREBBP,neuron
CREBL1,neuron
CREBZF,neuron
CREG2,neuron
CRH,neuron
CRHBP,neuron
CRHR1,neuron
CRIM1,neuron
CRKRS,neuron
CRMP1,neuron
CROCC,neuron
CRY2,neuron
CSDE1,neuron
CSE1L,neuron
CSF2RA,neuron
CSK,neuron
CSMD1,neuron
CSNK1A1,neuron
CSNK1D,neuron
CSNK1E,neuron
CSNK1G1,neuron
CSNK1G3,neuron
CSNK2A1,neuron
CSRP2,neuron
CTCF,neuron
CTDSPL2,neuron
CTNNA2,neuron
CTNND2,neuron
CTPS,neuron
CTPS2,neuron
CTTNBP2,neuron
CTTNBP2NL,neuron
CTXN1,neuron
CUGBP1,neuron
CUGBP2,neuron
CUL2,neuron
CUL3,neuron
CUL4A,neuron
CUL5,neuron
CWF19L1,neuron
CX3CL1,neuron
CXADR,neuron
CXCL12,neuron
CXXC4,neuron
CYB561,neuron
CYFIP2,neuron
CYGB,neuron
CYP11A1,neuron
CYP26B1,neuron
CYP4X1,neuron
DAAM1,neuron
DAB1,neuron
DAB2IP,neuron
DACT1,neuron
DAPK1,neuron
DARC,neuron
DBC1,neuron
DBN1,neuron
DBNDD1,neuron
DBR1,neuron
DCBLD1,neuron
DCK,neuron
DCN,neuron
DCP2,neuron
DCTD,neuron
DCUN1D1,neuron
DCUN1D4,neuron
DCUN1D5,neuron
DCX,neuron
DDN,neuron
DDX26B,neuron
DDX42,neuron
DDX5,neuron
DDX6,neuron
DENND2A,neuron
DENND3,neuron
DENR,neuron
DFFB,neuron
DGCR2,neuron
DGCR8,neuron
DGKB,neuron
DGKD,neuron
DGKE,neuron
DGKG,neuron
DGKK,neuron
DHPS,neuron
DHX15,neuron
DHX29,neuron
DHX37,neuron
DHX57,neuron
DICER1,neuron
DIP2C,neuron
DIRAS1,neuron
DIRAS2,neuron
DIS3,neuron
DISP2,neuron
DIXDC1,neuron
DKKL1,neuron
DLAT,neuron
DLEU7,neuron
DLG2,neuron
DLG3,neuron
DLG4,neuron
DLG5,neuron
DLGAP4,neuron
DLX1,neuron
DMXL2,neuron
DNAJA1,neuron
DNAJA2,neuron
DNAJB1,neuron
DNAJB5,neuron
DNAJB6,neuron
DNAJC2,neuron
DNAJC5,neuron
DNAJC6,neuron
DNER,neuron
DNM1,neuron
DNM1L,neuron
DNM3,neuron
DNMT1,neuron
DNMT3A,neuron
DOC2A,neuron
DOCK3,neuron
DOCK4,neuron
DOCK9,neuron
DOK4,neuron
DOK5,neuron
DOPEY1,neuron
DPH5,neuron
DPM1,neuron
DPP10,neuron
DPP6,neuron
DPYSL2,neuron
DPYSL3,neuron
DPYSL4,neuron
DPYSL5,neuron
DR1,neuron
DSP,neuron
DTX1,neuron
DTX4,neuron
DUS3L,neuron
DUSP12,neuron
DUSP14,neuron
DUSP4,neuron
DUSP6,neuron
DUT,neuron
DYNC1I1,neuron
DYNC1I2,neuron
